,Stimulus,Aver. human ratings,emotion,Category
196,Anger,0.9836198226619123,Anger,BO1
197,Anger,0.3171154778464976,Anger,BO1
198,Anger,0.8661600384448458,Anger,BO1
199,Anger,0.4666853098622538,Anger,BO1
200,Anger,0.7520638508371285,Anger,BO2
201,Anger,0.05815380722302657,Anger,BO2
202,Anger,0.6601051441865241,Anger,BO2
203,Anger,0.22636385020024619,Anger,BO2
204,Anger,0.4614404623485605,Anger,BO2
205,Anger,0.37197716347506804,Anger,BO2
206,Anger,0.3087397803784867,Anger,BO2
207,Anger,0.7798085617518012,Anger,BO2
208,Anger,0.4813896201535178,Anger,BO2
209,Anger,0.9161047784667917,Anger,BO2
210,Anger,0.17030167791013565,Anger,BO2
211,Anger,0.18273663776601956,Anger,BO2
212,Anger,0.03986360758639597,Anger,BO2
213,Anger,0.40350961173419225,Anger,BO2
214,Anger,0.9577924484198259,Anger,BO2
215,Anger,0.1940141219937962,Anger,BO2
216,Anger,0.8064065658159044,Anger,BO2
217,Anger,0.050341634776450116,Anger,BO2
218,Anger,0.3937246585578439,Anger,BO2
219,Anger,0.9674082716942367,Anger,BO2
220,Anger,0.021791545888895487,Anger,BO2
221,Anger,0.12594809980489335,Anger,BO2
222,Anger,0.26416268961475603,Anger,BO2
223,Anger,0.1940141219937962,Anger,BO2
224,Anger,0.17176463673433318,Anger,BO2
225,Anger,0.9162746266953642,Anger,BO2
226,Anger,0.32150451039640154,Anger,BO2
227,Anger,0.2467755187554856,Anger,BO2
228,Anger,0.596418003109085,Anger,BO2
229,Anger,0.05699986375290967,Anger,BO2
230,Anger,0.26416268961475603,Anger,BO2
231,Anger,0.2672012951780714,Anger,BO2
232,Anger,0.7201703589555983,Anger,BO2
233,Anger,0.11307926979549367,Anger,BO2
234,Anger,0.5753328973843114,Anger,BO2
235,Anger,0.4975334756286422,Anger,BO2
236,Anger,0.9577924484198259,Anger,BO2
237,Anger,0.30912766639646755,Anger,BO2
238,Anger,0.5753328973843113,Anger,BO2
239,Anger,0.4209966704500313,Anger,BO2
240,Anger,0.9795162095804704,Anger,BO3
241,Anger,0.012306846218227056,Anger,BO3
242,Anger,0.25737318554492405,Anger,BO3
243,Anger,0.453882690862462,Anger,BO3
244,Anger,0.6514631424123533,Anger,BO3
245,Anger,0.4777474110630137,Anger,BO3
246,Anger,0.3087397803784867,Anger,BO3
247,Anger,0.47511942464492213,Anger,BO3
248,Anger,0.25252976774280256,Anger,BO3
249,Anger,0.9161047784667917,Anger,BO3
250,Anger,0.6564141061211807,Anger,BO3
251,Anger,0.3203122185793765,Anger,BO3
252,Anger,0.03730811677491157,Anger,BO3
253,Anger,0.28396745074883273,Anger,BO3
254,Anger,0.03178281362589495,Anger,BO3
255,Anger,0.6213006176354635,Anger,BO3
256,Anger,0.8904326030643331,Anger,BO3
257,Anger,0.26416268961475603,Anger,BO3
258,Anger,0.3836042851732601,Anger,BO3
259,Anger,0.5584390247428497,Anger,BO3
260,Anger,0.028644138296353955,Anger,BO3
261,Anger,0.11666026477698442,Anger,BO3
262,Anger,0.26416268961475603,Anger,BO3
263,Anger,0.19084653483828495,Anger,BO3
264,Anger,0.1926856677319286,Anger,BO3
265,Anger,0.8782066434690003,Anger,BO3
266,Anger,0.9287302989850967,Anger,BO3
267,Anger,0.6229490906700155,Anger,BO3
268,Anger,0.3605051742000095,Anger,BO3
269,Anger,0.029172348851737098,Anger,BO3
270,Anger,0.2814521518208162,Anger,BO3
271,Anger,0.004562932635439712,Anger,BO3
272,Anger,0.4538826908624619,Anger,BO3
273,Anger,0.26374476960265286,Anger,BO3
274,Anger,0.6465863043045423,Anger,BO3
275,Anger,0.4975334756286422,Anger,BO3
276,Anger,0.9685325307009933,Anger,BO3
277,Anger,0.14590835520903345,Anger,BO3
278,Anger,0.7087356288313839,Anger,BO3
279,Anger,0.1058873020633826,Anger,BO3
280,Anger,0.17030167791013565,Anger,BO4
281,Anger,0.061232809995283195,Anger,BO4
282,Anger,0.40744851955934663,Anger,BO4
283,Anger,0.056999863752909684,Anger,BO4
284,Anger,0.6514631424123534,Anger,BO4
285,Anger,0.09718002263382161,Anger,BO4
286,Anger,0.18629330463907887,Anger,BO4
287,Anger,0.8731715739650103,Anger,BO4
288,Anger,0.46483739189611695,Anger,BO4
289,Anger,0.8006819620680201,Anger,BO4
290,Anger,0.09828394222408382,Anger,BO4
291,Anger,0.9359590510597331,Anger,BO4
292,Anger,0.08071639937818298,Anger,BO4
293,Anger,0.11827489961872635,Anger,BO4
294,Anger,0.0048306539588345845,Anger,BO4
295,Anger,0.6700135344458286,Anger,BO4
296,Anger,0.8904326030643331,Anger,BO4
297,Anger,0.19084653483828493,Anger,BO4
298,Anger,0.9188503120755136,Anger,BO4
299,Anger,0.6290759915128575,Anger,BO4
300,Anger,0.021005033067033024,Anger,BO4
301,Anger,0.1607330312735064,Anger,BO4
302,Anger,0.06722505218291155,Anger,BO4
303,Anger,0.2583248965865188,Anger,BO4
304,Anger,0.5237739492001988,Anger,BO4
305,Anger,0.887227624326491,Anger,BO4
306,Anger,0.8065381698474374,Anger,BO4
307,Anger,0.2467755187554856,Anger,BO4
308,Anger,0.5237739492001989,Anger,BO4
309,Anger,0.08964714045666504,Anger,BO4
310,Anger,0.22636385020024619,Anger,BO4
311,Anger,0.8246370615801482,Anger,BO4
312,Anger,0.7368713948671644,Anger,BO4
313,Anger,0.003837159261943895,Anger,BO4
314,Anger,0.4589883558426809,Anger,BO4
315,Anger,0.3273596126268555,Anger,BO4
316,Anger,0.9539010808490994,Anger,BO4
317,Anger,0.12236423552739883,Anger,BO4
318,Anger,0.7493535570170834,Anger,BO4
319,Anger,0.33250912561445506,Anger,BO4
320,Disgust,0.8518868880090541,Disgust,Prototype
321,Disgust,0.6168633792454105,Disgust,Prototype
322,Disgust,0.40228996048513926,Disgust,Prototype
323,Disgust,0.10597077880854272,Disgust,Prototype
324,Disgust,0.7864474977243411,Disgust,Prototype
325,Disgust,0.11783627997136592,Disgust,Prototype
326,Disgust,0.2583248965865188,Disgust,Prototype
327,Disgust,0.7257976689399996,Disgust,Prototype
328,Disgust,0.015562294482453614,Disgust,Prototype
329,Disgust,0.39349302108079914,Disgust,Prototype
330,Disgust,0.8838875235922176,Disgust,Prototype
331,Disgust,0.192836680169289,Disgust,Prototype
332,Disgust,0.16666666666666666,Disgust,Prototype
333,Disgust,0.2477313212889216,Disgust,Prototype
334,Disgust,0.8731715739650103,Disgust,Prototype
335,Disgust,0.3842032732384427,Disgust,Prototype
336,Disgust,0.3326204778874109,Disgust,Prototype
337,Disgust,0.5237739492001989,Disgust,Prototype
338,Disgust,0.3719771634750681,Disgust,Prototype
339,Disgust,0.6954681588261764,Disgust,Prototype
340,Disgust,0.6996128533993852,Disgust,Prototype
341,Disgust,0.5074420686754627,Disgust,Prototype
342,Disgust,0.48633010757520734,Disgust,Prototype
343,Disgust,0.4369176781439119,Disgust,Prototype
344,Disgust,0.12956251432964971,Disgust,Prototype
345,Disgust,0.9127126813536184,Disgust,Prototype
346,Disgust,0.19268566773192858,Disgust,Prototype
347,Disgust,0.4565621726937154,Disgust,Prototype
348,Disgust,0.35218742835175143,Disgust,Prototype
349,Disgust,0.02730044578202778,Disgust,Prototype
350,Disgust,0.12974823017120957,Disgust,Prototype
351,Disgust,0.07929866577714505,Disgust,Prototype
352,Disgust,0.09972469893330556,Disgust,Prototype
353,Disgust,0.8518868880090541,Disgust,Prototype
354,Disgust,0.27483475502576016,Disgust,Prototype
355,Disgust,0.2964863158673718,Disgust,Prototype
356,Disgust,0.23476256210010718,Disgust,Prototype
357,Disgust,0.2583248965865188,Disgust,Prototype
358,Disgust,0.24368619287666832,Disgust,Prototype
359,Disgust,0.23476256210010718,Disgust,Prototype
360,Disgust,0.6383748766057051,Disgust,Prototype
361,Disgust,0.5579731509950313,Disgust,Prototype
362,Disgust,0.4500949100635354,Disgust,Prototype
363,Disgust,0.15494169386417578,Disgust,Prototype
364,Disgust,0.4275745799015491,Disgust,Prototype
365,Disgust,0.07786284062284679,Disgust,Prototype
366,Disgust,0.22206358372827745,Disgust,Prototype
367,Disgust,0.9436614513020996,Disgust,Prototype
368,Disgust,0.6383748766057054,Disgust,Prototype
369,Disgust,0.19268566773192858,Disgust,Prototype
370,Disgust,0.793674096262305,Disgust,Prototype
371,Disgust,0.40228996048513926,Disgust,Prototype
372,Disgust,0.12956251432964971,Disgust,Prototype
373,Disgust,0.3240001476951149,Disgust,Prototype
374,Disgust,0.9836198226619123,Disgust,Prototype
375,Disgust,0.35269225634912055,Disgust,Prototype
376,Disgust,0.04878906985862268,Disgust,Prototype
377,Disgust,0.18667750465120989,Disgust,Prototype
378,Disgust,0.0807884402806643,Disgust,Prototype
379,Disgust,0.6790648395599009,Disgust,Prototype
380,Disgust,0.21555612220306053,Disgust,Prototype
381,Disgust,0.35269225634912055,Disgust,Prototype
382,Disgust,0.48633010757520734,Disgust,Prototype
383,Disgust,0.11357901787303151,Disgust,Prototype
384,Disgust,0.12956251432964971,Disgust,Prototype
385,Disgust,0.8749339938217527,Disgust,Prototype
386,Disgust,0.1862933046390789,Disgust,Prototype
387,Disgust,0.3842032732384427,Disgust,Prototype
388,Disgust,0.35218742835175143,Disgust,Prototype
389,Disgust,0.1789108481996147,Disgust,Prototype
390,Disgust,0.5579731509950313,Disgust,Prototype
391,Disgust,0.30511911953891024,Disgust,Prototype
392,Disgust,0.07786284062284679,Disgust,Prototype
393,Disgust,0.6383748766057051,Disgust,Prototype
394,Disgust,0.043123569051565204,Disgust,Prototype
395,Disgust,0.5306250064399833,Disgust,Prototype
396,Disgust,0.8699362741351853,Disgust,Prototype
397,Disgust,0.0742103056781175,Disgust,Prototype
398,Disgust,0.23142412421212094,Disgust,Prototype
399,Disgust,0.17176463673433315,Disgust,Prototype
400,Disgust,0.040912564974696475,Disgust,Prototype with mouth opening
401,Disgust,0.05093794765768231,Disgust,Prototype with mouth opening
402,Disgust,0.07551345442833783,Disgust,Prototype with mouth opening
403,Disgust,0.12236423552739882,Disgust,Prototype with mouth opening
404,Disgust,0.08513617748874551,Disgust,Prototype with mouth opening
405,Disgust,0.17891084819961467,Disgust,Prototype with mouth opening
406,Disgust,0.06318867857484227,Disgust,Prototype with mouth opening
407,Disgust,0.4933516455211341,Disgust,Prototype with mouth opening
408,Disgust,0.6383748766057054,Disgust,Prototype with mouth opening
409,Disgust,0.10141397588327022,Disgust,Prototype with mouth opening
410,Disgust,0.3606995921369843,Disgust,Prototype with mouth opening
