,index,stimulus,target_emotion_for_rating,rating
389,29,namba hot,fear,1
390,30,namba hot,fear,1
391,31,namba hot,fear,1
392,32,namba hot,fear,2
393,33,namba hot,fear,2
394,34,namba hot,fear,1
395,35,namba hot,fear,1
396,36,namba hot,fear,1
397,37,namba hot,fear,1
398,38,namba hot,fear,1
399,39,namba hot,fear,1
400,0,namba hot,happiness,5
401,1,namba hot,happiness,2
402,2,namba hot,happiness,5
403,3,namba hot,happiness,1
404,4,namba hot,happiness,5
405,5,namba hot,happiness,1
406,6,namba hot,happiness,2
407,7,namba hot,happiness,2
408,8,namba hot,happiness,3
409,9,namba hot,happiness,2
410,10,namba hot,happiness,1
411,11,namba hot,happiness,1
412,12,namba hot,happiness,3
413,13,namba hot,happiness,3
414,14,namba hot,happiness,1
415,15,namba hot,happiness,2
416,16,namba hot,happiness,4
417,17,namba hot,happiness,1
418,18,namba hot,happiness,3
419,19,namba hot,happiness,6
420,20,namba hot,happiness,1
421,21,namba hot,happiness,1
422,22,namba hot,happiness,1
423,23,namba hot,happiness,2
424,24,namba hot,happiness,1
425,25,namba hot,happiness,1
426,26,namba hot,happiness,3
427,27,namba hot,happiness,3
428,28,namba hot,happiness,3
429,29,namba hot,happiness,1
430,30,namba hot,happiness,2
431,31,namba hot,happiness,2
432,32,namba hot,happiness,3
433,33,namba hot,happiness,2
434,34,namba hot,happiness,1
435,35,namba hot,happiness,1
436,36,namba hot,happiness,3
437,37,namba hot,happiness,1
438,38,namba hot,happiness,1
439,39,namba hot,happiness,1
440,0,namba hot,sadness,6
441,1,namba hot,sadness,5
442,2,namba hot,sadness,6
443,3,namba hot,sadness,2
444,4,namba hot,sadness,6
445,5,namba hot,sadness,7
446,6,namba hot,sadness,2
447,7,namba hot,sadness,6
448,8,namba hot,sadness,6
449,9,namba hot,sadness,5
450,10,namba hot,sadness,4
451,11,namba hot,sadness,2
452,12,namba hot,sadness,5
453,13,namba hot,sadness,6
454,14,namba hot,sadness,1
455,15,namba hot,sadness,3
456,16,namba hot,sadness,4
457,17,namba hot,sadness,1
458,18,namba hot,sadness,6
459,19,namba hot,sadness,6
460,20,namba hot,sadness,6
461,21,namba hot,sadness,1
462,22,namba hot,sadness,6
463,23,namba hot,sadness,2
464,24,namba hot,sadness,1
465,25,namba hot,sadness,7
466,26,namba hot,sadness,5
467,27,namba hot,sadness,5
468,28,namba hot,sadness,2
469,29,namba hot,sadness,1
470,30,namba hot,sadness,6
471,31,namba hot,sadness,2
472,32,namba hot,sadness,4
473,33,namba hot,sadness,4
474,34,namba hot,sadness,3
475,35,namba hot,sadness,1
476,36,namba hot,sadness,3
477,37,namba hot,sadness,5
478,38,namba hot,sadness,1
479,39,namba hot,sadness,6
480,0,namba hot,surprise,5
481,1,namba hot,surprise,2
482,2,namba hot,surprise,5
483,3,namba hot,surprise,1
484,4,namba hot,surprise,5
485,5,namba hot,surprise,4
486,6,namba hot,surprise,7
487,7,namba hot,surprise,4
488,8,namba hot,surprise,5
489,9,namba hot,surprise,3
490,10,namba hot,surprise,5
491,11,namba hot,surprise,3
492,12,namba hot,surprise,5
493,13,namba hot,surprise,4
494,14,namba hot,surprise,4
495,15,namba hot,surprise,3
496,16,namba hot,surprise,1
497,17,namba hot,surprise,3
498,18,namba hot,surprise,6
499,19,namba hot,surprise,3
500,20,namba hot,surprise,3
501,21,namba hot,surprise,2
502,22,namba hot,surprise,3
503,23,namba hot,surprise,3
504,24,namba hot,surprise,1
505,25,namba hot,surprise,1
506,26,namba hot,surprise,6
507,27,namba hot,surprise,6
508,28,namba hot,surprise,3
509,29,namba hot,surprise,2
510,30,namba hot,surprise,6
511,31,namba hot,surprise,6
512,32,namba hot,surprise,5
513,33,namba hot,surprise,5
514,34,namba hot,surprise,4
515,35,namba hot,surprise,2
516,36,namba hot,surprise,4
517,37,namba hot,surprise,1
518,38,namba hot,surprise,2
519,39,namba hot,surprise,2
520,0,namba hot,neutral,5
521,1,namba hot,neutral,4
522,2,namba hot,neutral,2
523,3,namba hot,neutral,5
524,4,namba hot,neutral,1
525,5,namba hot,neutral,1
526,6,namba hot,neutral,1
527,7,namba hot,neutral,3
528,8,namba hot,neutral,4
529,9,namba hot,neutral,1
530,10,namba hot,neutral,1
531,11,namba hot,neutral,2
532,12,namba hot,neutral,3
533,13,namba hot,neutral,1
534,14,namba hot,neutral,1
535,15,namba hot,neutral,1
536,16,namba hot,neutral,3
537,17,namba hot,neutral,1
538,18,namba hot,neutral,2
539,19,namba hot,neutral,3
540,20,namba hot,neutral,1
541,21,namba hot,neutral,1
542,22,namba hot,neutral,1
543,23,namba hot,neutral,2
544,24,namba hot,neutral,1
545,25,namba hot,neutral,1
546,26,namba hot,neutral,1
547,27,namba hot,neutral,1
548,28,namba hot,neutral,4
549,29,namba hot,neutral,1
550,30,namba hot,neutral,1
551,31,namba hot,neutral,1
552,32,namba hot,neutral,2
553,33,namba hot,neutral,2
554,34,namba hot,neutral,1
555,35,namba hot,neutral,1
556,36,namba hot,neutral,1
557,37,namba hot,neutral,1
558,38,namba hot,neutral,1
559,39,namba hot,neutral,1
560,0,BO-based,anger,4
561,1,BO-based,anger,5
562,2,BO-based,anger,6
563,3,BO-based,anger,3
564,4,BO-based,anger,6
565,5,BO-based,anger,6
566,6,BO-based,anger,7
567,7,BO-based,anger,7
568,8,BO-based,anger,7
569,9,BO-based,anger,2
570,10,BO-based,anger,7
571,11,BO-based,anger,6
572,12,BO-based,anger,6
573,13,BO-based,anger,4
574,14,BO-based,anger,6
575,15,BO-based,anger,3
576,16,BO-based,anger,7
577,17,BO-based,anger,7
578,18,BO-based,anger,6
579,19,BO-based,anger,1
580,20,BO-based,anger,1
581,21,BO-based,anger,5
582,22,BO-based,anger,6
583,23,BO-based,anger,5
584,24,BO-based,anger,7
585,25,BO-based,anger,5
586,26,BO-based,anger,7
587,27,BO-based,anger,6
588,28,BO-based,anger,6
589,29,BO-based,anger,6
590,30,BO-based,anger,6
591,31,BO-based,anger,5
592,32,BO-based,anger,7
593,33,BO-based,anger,6
594,34,BO-based,anger,6
595,35,BO-based,anger,5
596,36,BO-based,anger,5
597,37,BO-based,anger,6
598,38,BO-based,anger,6
599,39,BO-based,anger,7
600,0,BO-based,disgust,5
601,1,BO-based,disgust,4
