frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
53,0,1.733,0.98,1,0.03,0.05,0.64,0.00,0.66,2.09,0.02,1.09,1.07,1.84,0.08,0.21,0.06,0.01,0.06,0.08,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,1.767,0.98,1,0.03,0.04,0.64,0.00,0.67,2.09,0.00,1.08,1.07,1.77,0.13,0.28,0.02,0.01,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,1.800,0.98,1,0.01,0.00,0.69,0.00,0.67,2.16,0.00,1.01,1.05,1.80,0.15,0.27,0.07,0.00,0.11,0.12,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,1.833,0.98,1,0.04,0.08,0.71,0.00,0.70,2.31,0.00,1.02,1.06,1.87,0.17,0.29,0.09,0.00,0.11,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,1.867,0.98,1,0.04,0.13,0.73,0.00,0.73,2.42,0.00,1.08,1.08,1.93,0.12,0.26,0.07,0.00,0.10,0.08,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,1.900,0.98,1,0.04,0.13,0.70,0.00,0.72,2.37,0.00,1.17,1.11,1.95,0.07,0.26,0.03,0.00,0.03,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,1.933,0.98,1,0.01,0.05,0.65,0.00,0.73,2.36,0.00,1.21,1.12,2.01,0.03,0.26,0.04,0.00,0.03,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,1.967,0.98,1,0.00,0.00,0.66,0.00,0.74,2.43,0.00,1.19,1.15,2.08,0.00,0.17,0.04,0.00,0.07,0.00,0.27,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,2.000,0.98,1,0.00,0.02,0.73,0.00,0.77,2.51,0.01,1.20,1.13,2.16,0.03,0.22,0.04,0.00,0.07,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,2.033,0.98,1,0.00,0.02,0.79,0.00,0.77,2.53,0.01,1.22,1.11,2.18,0.06,0.22,0.00,0.00,0.06,0.00,0.44,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
