frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
24,0,0.767,0.98,1,0.00,0.00,0.38,0.01,1.42,2.35,0.00,0.41,1.69,1.23,0.00,0.11,0.00,0.39,0.00,0.23,0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
25,0,0.800,0.98,1,0.00,0.00,0.29,0.00,1.43,2.28,0.00,0.48,1.71,1.13,0.00,0.11,0.00,0.40,0.00,0.29,0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
26,0,0.833,0.98,1,0.00,0.00,0.25,0.00,1.46,2.23,0.00,0.54,1.76,1.19,0.02,0.16,0.00,0.39,0.00,0.38,0.01,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
27,0,0.867,0.98,1,0.00,0.00,0.20,0.00,1.46,2.12,0.00,0.55,1.72,1.23,0.03,0.16,0.00,0.35,0.01,0.46,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
28,0,0.900,0.98,1,0.00,0.00,0.26,0.00,1.43,2.01,0.00,0.52,1.70,1.30,0.08,0.23,0.00,0.34,0.01,0.56,0.11,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
29,0,0.933,0.98,1,0.00,0.00,0.31,0.00,1.37,1.99,0.00,0.48,1.66,1.22,0.06,0.25,0.00,0.31,0.01,0.57,0.16,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
30,0,0.967,0.98,1,0.00,0.00,0.38,0.00,1.36,2.08,0.00,0.46,1.70,1.14,0.06,0.19,0.00,0.30,0.00,0.56,0.17,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
31,0,1.000,0.98,1,0.00,0.00,0.40,0.00,1.35,2.25,0.00,0.45,1.74,1.11,0.01,0.12,0.00,0.27,0.00,0.55,0.09,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
32,0,1.033,0.98,1,0.00,0.00,0.32,0.04,1.39,2.36,0.00,0.47,1.75,1.15,0.01,0.15,0.00,0.28,0.00,0.62,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
33,0,1.067,0.98,1,0.00,0.00,0.28,0.04,1.40,2.55,0.00,0.42,1.69,1.21,0.01,0.25,0.00,0.29,0.00,0.57,0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
34,0,1.100,0.98,1,0.00,0.00,0.30,0.04,1.44,2.58,0.00,0.48,1.67,1.23,0.08,0.37,0.00,0.33,0.00,0.57,0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
35,0,1.133,0.98,1,0.00,0.00,0.37,0.00,1.45,2.68,0.01,0.48,1.63,1.29,0.20,0.42,0.05,0.34,0.00,0.46,0.03,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
36,0,1.167,0.98,1,0.00,0.00,0.37,0.00,1.48,2.70,0.01,0.54,1.62,1.27,0.36,0.44,0.05,0.35,0.00,0.53,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
37,0,1.200,0.98,1,0.00,0.00,0.38,0.00,1.47,2.80,0.01,0.54,1.59,1.25,0.35,0.41,0.05,0.32,0.00,0.48,0.01,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
38,0,1.233,0.98,1,0.00,0.00,0.39,0.00,1.45,2.83,0.02,0.54,1.55,1.18,0.27,0.37,0.05,0.29,0.00,0.45,0.01,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
39,0,1.267,0.98,1,0.00,0.00,0.44,0.00,1.39,2.70,0.03,0.56,1.51,1.13,0.16,0.34,0.05,0.26,0.00,0.35,0.01,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
40,0,1.300,0.98,1,0.00,0.00,0.43,0.11,1.35,2.67,0.04,0.54,1.50,1.14,0.14,0.31,0.09,0.24,0.04,0.28,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
41,0,1.333,0.98,1,0.00,0.00,0.49,0.15,1.32,2.60,0.06,0.56,1.53,1.20,0.16,0.27,0.05,0.23,0.04,0.25,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
42,0,1.367,0.98,1,0.00,0.00,0.57,0.21,1.33,2.69,0.09,0.50,1.56,1.29,0.21,0.21,0.08,0.19,0.04,0.35,0.05,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
43,0,1.400,0.98,1,0.00,0.00,0.63,0.13,1.33,2.66,0.09,0.48,1.54,1.36,0.25,0.21,0.09,0.19,0.00,0.36,0.06,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
44,0,1.433,0.98,1,0.00,0.00,0.67,0.14,1.35,2.64,0.06,0.49,1.51,1.39,0.26,0.19,0.12,0.20,0.00,0.33,0.07,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
45,0,1.467,0.98,1,0.00,0.00,0.62,0.15,1.35,2.56,0.08,0.50,1.45,1.45,0.23,0.15,0.12,0.23,0.03,0.24,0.14,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
46,0,1.500,0.98,1,0.00,0.00,0.58,0.22,1.25,2.42,0.09,0.43,1.43,1.48,0.27,0.07,0.17,0.16,0.07,0.24,0.26,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
47,0,1.533,0.98,1,0.00,0.00,0.57,0.25,1.13,2.29,0.07,0.38,1.40,1.48,0.28,0.01,0.21,0.08,0.13,0.34,0.44,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
48,0,1.567,0.98,1,0.01,0.00,0.64,0.29,1.01,2.24,0.03,0.26,1.38,1.59,0.30,0.01,0.22,0.00,0.17,0.41,0.54,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
49,0,1.600,0.98,1,0.01,0.00,0.68,0.18,1.00,2.16,0.01,0.30,1.37,1.58,0.27,0.02,0.28,0.00,0.17,0.51,0.61,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
50,0,1.633,0.98,1,0.01,0.00,0.65,0.11,1.02,2.21,0.01,0.25,1.37,1.60,0.19,0.02,0.33,0.00,0.11,0.44,0.38,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
51,0,1.667,0.98,1,0.02,0.00,0.63,0.00,1.04,2.21,0.00,0.31,1.43,1.50,0.19,0.01,0.40,0.00,0.04,0.45,0.22,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
52,0,1.700,0.98,1,0.02,0.00,0.66,0.06,1.02,2.24,0.00,0.31,1.45,1.41,0.22,0.08,0.34,0.00,0.02,0.27,0.17,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
53,0,1.733,0.98,1,0.14,0.07,0.84,0.06,0.87,1.97,0.00,0.30,1.49,1.36,0.31,0.13,0.38,0.00,0.03,0.30,0.34,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
54,0,1.767,0.98,1,0.25,0.14,0.92,0.07,0.68,1.61,0.00,0.29,1.46,1.29,0.22,0.22,0.37,0.00,0.15,0.20,0.51,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
55,0,1.800,0.98,1,0.44,0.14,0.97,0.01,0.47,1.37,0.00,0.26,1.35,1.19,0.09,0.20,0.34,0.00,0.26,0.17,0.44,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
56,0,1.833,0.98,1,0.41,0.07,0.94,0.01,0.37,1.36,0.00,0.21,1.23,1.01,0.05,0.18,0.18,0.00,0.33,0.07,0.43,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
57,0,1.867,0.98,1,0.35,0.00,1.04,0.00,0.37,1.49,0.01,0.17,1.12,0.83,0.11,0.15,0.11,0.00,0.33,0.03,0.25,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
58,0,1.900,0.98,1,0.31,0.00,1.15,0.00,0.38,1.59,0.01,0.14,1.09,0.74,0.11,0.15,0.05,0.00,0.31,0.04,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
59,0,1.933,0.98,1,0.35,0.00,1.18,0.00,0.39,1.63,0.03,0.11,1.05,0.75,0.05,0.19,0.06,0.00,0.34,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
60,0,1.967,0.98,1,0.42,0.00,1.05,0.04,0.44,1.70,0.01,0.07,1.04,0.73,0.00,0.16,0.04,0.00,0.29,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
61,0,2.000,0.98,1,0.40,0.00,0.91,0.04,0.48,1.47,0.02,0.04,1.01,0.71,0.05,0.11,0.09,0.00,0.29,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
62,0,2.033,0.98,1,0.38,0.00,0.86,0.04,0.49,1.24,0.00,0.03,0.99,0.55,0.09,0.04,0.11,0.00,0.29,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
63,0,2.067,0.98,1,0.31,0.00,0.91,0.00,0.42,1.09,0.00,0.03,1.00,0.41,0.09,0.02,0.08,0.00,0.33,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
64,0,2.100,0.98,1,0.31,0.00,0.91,0.00,0.37,1.26,0.00,0.00,1.01,0.29,0.08,0.03,0.03,0.00,0.35,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
65,0,2.133,0.98,1,0.32,0.00,0.89,0.00,0.34,1.37,0.00,0.00,1.02,0.19,0.04,0.03,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
