frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
73,0,2.400,0.98,1,0.01,0.16,0.94,0.00,0.35,1.55,0.00,0.00,1.22,1.94,0.05,0.48,0.11,0.08,0.00,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
74,0,2.433,0.98,1,0.01,0.10,0.92,0.00,0.31,1.47,0.00,0.00,1.18,1.93,0.05,0.50,0.02,0.09,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
75,0,2.467,0.98,1,0.01,0.10,0.95,0.00,0.30,1.20,0.00,0.00,1.18,1.95,0.03,0.49,0.00,0.11,0.05,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
76,0,2.500,0.98,1,0.04,0.03,0.95,0.00,0.33,1.22,0.00,0.00,1.20,1.96,0.08,0.49,0.03,0.12,0.05,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
77,0,2.533,0.98,1,0.03,0.09,0.98,0.00,0.33,1.35,0.00,0.00,1.19,1.96,0.08,0.51,0.07,0.15,0.05,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
78,0,2.567,0.98,1,0.03,0.13,0.97,0.00,0.32,1.49,0.00,0.00,1.17,1.93,0.11,0.50,0.07,0.18,0.00,0.07,0.04,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
79,0,2.600,0.98,1,0.00,0.16,0.99,0.00,0.33,1.67,0.00,0.00,1.16,1.90,0.03,0.49,0.05,0.21,0.00,0.08,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
80,0,2.633,0.98,1,0.00,0.11,1.05,0.00,0.34,1.73,0.00,0.00,1.17,1.92,0.03,0.47,0.06,0.22,0.00,0.06,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
81,0,2.667,0.98,1,0.00,0.07,1.07,0.00,0.35,1.73,0.00,0.00,1.15,1.96,0.00,0.48,0.07,0.20,0.00,0.13,0.13,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
82,0,2.700,0.98,1,0.00,0.02,1.06,0.00,0.35,1.61,0.00,0.00,1.17,2.00,0.00,0.47,0.10,0.17,0.00,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
83,0,2.733,0.98,1,0.00,0.00,1.03,0.00,0.33,1.50,0.00,0.00,1.19,2.00,0.00,0.43,0.10,0.14,0.00,0.19,0.14,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
84,0,2.767,0.98,1,0.00,0.00,0.97,0.00,0.37,1.51,0.00,0.00,1.25,1.98,0.00,0.38,0.10,0.14,0.00,0.16,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
85,0,2.800,0.98,1,0.00,0.07,0.91,0.00,0.37,1.58,0.00,0.00,1.26,1.93,0.00,0.38,0.07,0.14,0.00,0.24,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
86,0,2.833,0.98,1,0.00,0.07,0.87,0.00,0.40,1.63,0.00,0.00,1.26,1.85,0.04,0.44,0.12,0.16,0.00,0.22,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
