frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
54,0,1.767,0.98,1,0.00,0.00,0.91,0.08,0.55,2.06,0.10,1.02,0.73,1.61,0.01,0.00,0.03,0.00,0.15,0.00,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,1.800,0.98,1,0.03,0.00,0.90,0.08,0.50,1.99,0.10,0.99,0.67,1.54,0.03,0.00,0.03,0.00,0.17,0.03,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,1.833,0.98,1,0.04,0.00,0.94,0.10,0.45,1.86,0.06,0.88,0.68,1.51,0.03,0.03,0.02,0.00,0.23,0.07,0.04,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,1.867,0.98,1,0.04,0.00,0.96,0.02,0.40,1.90,0.03,0.86,0.72,1.55,0.10,0.04,0.04,0.00,0.36,0.15,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,1.900,0.98,1,0.06,0.02,0.98,0.02,0.40,2.00,0.07,0.73,0.73,1.58,0.08,0.04,0.08,0.00,0.32,0.18,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,1.933,0.98,1,0.06,0.02,0.99,0.00,0.42,2.11,0.07,0.65,0.76,1.65,0.08,0.01,0.12,0.00,0.26,0.20,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,1.967,0.98,1,0.06,0.02,1.00,0.00,0.45,2.10,0.04,0.64,0.81,1.78,0.04,0.01,0.09,0.00,0.16,0.22,0.14,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,2.000,0.98,1,0.00,0.00,1.02,0.00,0.45,2.23,0.00,0.68,0.83,1.78,0.05,0.04,0.08,0.00,0.09,0.15,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,2.033,0.98,1,0.00,0.00,1.00,0.00,0.46,2.44,0.00,0.69,0.80,1.77,0.12,0.09,0.14,0.00,0.08,0.11,0.06,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,2.067,0.98,1,0.00,0.00,0.97,0.00,0.46,2.52,0.00,0.66,0.77,1.74,0.11,0.11,0.18,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
